SKU,EAN,"OLD EAN",stock
KF23463,0732064579474,0732064579474,0
KF231161,0732064579481,0732064579481,0
KF231160,0732064579498,0732064579498,10
KF231159,0732064579504,0732064579504,0
KF23464,0732064579511,0732064579511,4
KF231158,0732064579528,0732064579528,10
KF231157,0732064579535,0732064579535,10
KF231156,0732064579542,0732064579542,8
KF23465,0732064579559,0732064579559,10
KF231155,0732064579566,0732064579566,10
KF23466,0732064579573,0732064579573,10
KF23467,0732064579580,0732064579580,7
KF23468,0732064579597,0732064579597,10
KF23469,0732064579603,0732064579603,0
KF23470,0732064579627,0732064579627,0
KF23471,0732064579634,0732064579634,0
KF23472,0732064579641,0732064579641,0
KF23473,0732064579658,0732064579658,0
KF23474,0732064579665,0732064579665,0
KF23475,0732064579672,0732064579672,0
KF23476,0732064579689,0732064579689,0
KF23477,0732064579696,0732064579696,0
KF23478,0732064579702,0732064579702,0
KF23479,0732064579719,0732064579719,0
KF23480,0732064579726,0732064579726,0
KF23481,0732064579733,0732064579733,0
KF23482,0732064579740,0732064579740,0
KF23483,0732064579757,0732064579757,0
KF23484,0732064579764,0732064579764,0
KF23485,0732064579771,0732064579771,0
KF23486,0732064579788,0732064579788,0
KF23487,0732064579795,0732064579795,0
KF23488,0732064579801,0732064579801,0
KF23489,0732064579818,0732064579818,0
KF23490,0732064579825,0732064579825,0
KF23491,0732064579832,0732064579832,0
KF23492,0732064579849,0732064579849,0
KF23493,0732064579856,0732064579856,0
KF23494,0732064579863,0732064579863,0
KF23495,0732064579870,0732064579870,0
KF23496,0732064579887,0732064579887,0
KF23497,0732064579894,0732064579894,0
KF23498,0732064579900,0732064579900,0
KF23499,0732064579917,0732064579917,0
KF23963,0732064579924,0732064579924,0
KF23500,0732064579931,0732064579931,0
KF23501,0732064579948,0732064579948,0
KF23502,0732064579955,0732064579955,0
KF23503,0732064579962,0732064579962,0
KF23504,0732064579979,0732064579979,0
KF23505,0732064579986,0732064579986,0
KF23506,0732064579993,0732064579993,0
KF23507,0732064580005,0732064580005,0
